id,name,description,latitude,longitude,capacity
67,Cascade Theater,"A grand, old theater with ornate decorations and a rich history, known for hosting renowned performers and productions",13.3601931,99.9129845,170
68,2nd Theater,"A grand, old theater with ornate decorations and a rich history, known for hosting renowned performers and productions",-12.1227634,44.4883576,700
69,Sullivan Theater,"A theater with a cozy and intimate atmosphere, featuring comfortable seating and a warm atmosphere",-1.3964218,-48.4609448,890
70,Grayhawk Theater,"A theater with a full bar and food service, offering a luxurious and sophisticated setting for a night out at the theater",29.5613789,-98.5612534,420
71,Eagan Theater,"A theater with a cozy and intimate atmosphere, featuring comfortable seating and a warm atmosphere",39.726929,116.341395,960
72,Melrose Theater,"A theater with a vibrant and energetic atmosphere, ideal for upbeat and lively performances",25.8263535,-97.5294628,360
73,Ridgeway Theater,"A theater with a relaxed and laid-back atmosphere, perfect for casual events and performances",27.1574303,117.3011656,950
74,Beilfuss Theater,"A theater with a warm and welcoming atmosphere, perfect for bringing the family to see a live performance",39.803681,112.073298,460
75,Delaware Theater,"A theater with a grand and elegant atmosphere, featuring plush seating and intricate details",34.8582652,33.6007892,850
76,Lakewood Theater,"A theater with a warm and inviting atmosphere, featuring comfortable seating and a welcoming environment",7.4554641,4.5443923,380
77,Lunder Theater,"A theater with a vibrant and energetic atmosphere, ideal for upbeat and lively performances",10.527138,122.813931,1000
78,Daystar Theater,"A theater with a futuristic and modern design, featuring advanced technology and interactive elements",10.5570353,-85.68986,270
79,Springview Theater,"A modern, multi-purpose theater with a sleek design and state-of-the-art lighting and sound systems, known for hosting cutting-edge performances and events",32.748741,103.82319,350
80,Butterfield Theater,"A modern, multi-purpose theater with a sleek design and state-of-the-art lighting and sound systems, known for hosting cutting-edge performances and events",39.907483,116.442259,500
81,Forest Dale Theater,"A theater with a grand and elegant atmosphere, featuring plush seating and intricate details",66.3110843,14.1351449,210
82,Kropf Theater,"A modern, multi-purpose theater with a sleek design and state-of-the-art lighting and sound systems, known for hosting cutting-edge performances and events",-19.2277915,-41.1602597,360
83,Merrick Theater,"A theater with seating in small, cozy booths or cabins, creating a more intimate atmosphere for live performances",41.7268086,129.6850661,200
84,Dahle Theater,"A theater with a grand and opulent atmosphere, featuring luxurious seating and a grand stage",36.9635917,56.3712327,880
85,Rieder Theater,"A grand, old theater with ornate decorations and a rich history, known for hosting renowned performers and productions",-12.2,-75.416667,740
86,Sycamore Theater,"A theater with a cozy and rustic atmosphere, featuring exposed brick walls and wooden beams",48.3135026,25.082229,420
87,Corscot Theater,"A theater with a sleek and modern atmosphere, featuring clean lines and a minimalist design",42.3998287,20.6527992,400
88,Summer Ridge Theater,"A theater with a vibrant and energetic atmosphere, ideal for upbeat and lively performances",20.8965838,-105.4093552,280
89,Mcguire Theater,"A theater with a warm and welcoming atmosphere, perfect for bringing the family to see a live performance",-34.7356949,-58.6340339,780
90,8th Theater,"A theater with a unique, themed atmosphere, such as a vintage or art deco design, evoking a sense of glamour and sophistication",45.0543662,34.3179269,740
91,Atwood Theater,"A theater with a full bar and food service, offering a luxurious and sophisticated setting for a night out at the theater",27.353091,118.015602,840
92,Artisan Theater,"A theater with a grand and elegant atmosphere, featuring plush seating and intricate details",45.6011009,20.1415393,840
93,Katie Theater,"A theater with seating in small, cozy booths or cabins, creating a more intimate atmosphere for live performances",48.8171378,2.4196694,410
94,Mockingbird Theater,"A theater with a warm and welcoming atmosphere, perfect for bringing the family to see a live performance",39.9996674,116.3264439,280
95,Cardinal Theater,"A theater with a futuristic and modern design, featuring advanced technology and interactive elements",8.5060115,8.5226706,600
96,Utah Theater,"A small, intimate theater with comfortable seating and excellent acoustics, nestled in the heart of the city's cultural district",-6.1859723,106.8909003,1000
97,Scoville Theater,"A theater with a unique, themed atmosphere, such as a vintage or art deco design, evoking a sense of glamour and sophistication",-36.9532166,-73.017378,940
98,Park Meadow Theater,"A theater with seating in small, cozy booths or cabins, creating a more intimate atmosphere for live performances",7.871544,122.550568,840
99,Schiller Theater,"A small, intimate theater with comfortable seating and excellent acoustics, nestled in the heart of the city's cultural district",15.4004052,119.9303933,310
100,Fordem Theater,"A theater with a futuristic and modern design, featuring advanced technology and interactive elements",39.4364103,-8.2988008,600
101,Apollon Theatre,"Designed by the famous German architect Ernst Ziller, it was completed in 1872. The Apollon is located east of Georgiou I Square, one of Patras' popular squares. The theatre is a micrograph of the La Scala in Milan and is the oldest existing enclosed theatre of the same era.",38.2465988547397,21.7354299875728,300
102,Municipal Theatre Of Piraeus,A neoclassical building built on plans by the architect Ioannis Lazarimos and opened on 9 April 1895. The theatre has a 600-seat capacity and is located in the centremost place of Piraeus.,37.9435741419497,23.6468106557873,600
103,Super Dome,"A massive stadium with a seating capacity of over 70,000, known for hosting major sporting events and concerts",2.1514272,11.3317605,70000
104,Colosseum,"A massive amphitheater with a seating capacity of over 50,000, known for hosting major sporting events and concerts",33.273148,115.676125,50000
105,Madison Square Garden,"A multi-purpose arena with a seating capacity of over 20,000, known for hosting major sporting events and concerts",47.2457073,-122.4773432,20000
106,O2 Arena,"A multi-purpose arena with a seating capacity of over 20,000, located in London, England, known for hosting major concerts and sporting events",34.7326539,137.7446478,20000
107,Staples Center,"A multi-purpose arena with a seating capacity of over 20,000, located in Los Angeles, California, known for hosting major concerts and sporting events",51.07588,17.72244,20000
108,Sydney Opera House,"A world-famous performing arts venue located in Sydney, Australia, known for hosting major concerts and theater performances",-36.7421593,-72.3017718,3900
109,Hollywood Bowl,"An outdoor amphitheater with a seating capacity of over 18,000, located in Hollywood, California, known for hosting major concerts and performances",12.469284,-85.6614682,18000
110,Red Rocks Amphitheater,"An outdoor amphitheater with a seating capacity of over 9,000, located in Morrison, Colorado, known for hosting major concerts and performances",49.0580516,-122.4706669,9000
111,Wembley Stadium,"A massive stadium with a seating capacity of over 90,000, located in London, England, known for hosting major sporting events and concerts",46.2519995,30.4372882,90000
112,GelreDome,"A multi-purpose arena with a seating capacity of over 35,000, located in Arnhem, Netherlands, known for hosting major sporting events and concerts",13.6867437,123.1989968,35000
113,OAKA Olympic Stadium,"A multi-purpose stadium with a seating capacity of over 70,000, located in Athens, Greece, known for hosting major sporting events and concerts",38.0394620918745,23.7849193614524,70000
114,Tae Kwon Do Indoor Hall,"A multi-purpose indoor arena with a seating capacity of over 10,000, located in Athens, Greece, known for hosting major sporting events and concerts",37.9362008796128,23.6910354325301,10000
115,Peace and Friendship Stadium,"A multi-purpose stadium with a seating capacity of over 30,000, located in Piraeus, Greece, known for hosting major sporting events and concerts",37.9425761546939,23.6675979439115,30000
116,Olympiako Stadio Spyros Louis,"A multi-purpose stadium with a seating capacity of over 80,000, located in Athens, Greece, known for hosting major sporting events and concerts",38.0394620918745,23.7849193614524,80000
117,Karaiskaki Stadium,"A multi-purpose indoor arena with a seating capacity of over 15,000, located in Athens, Greece, known for hosting major sporting events and concerts",37.9465466908984,23.6643700846545,15000
118,Olympic Indoor Hall,"An outdoor stadium with a seating capacity of over 25,000, located in Patras, Greece, known for hosting major sporting events and concerts",38.0377974805483,23.784373200202,25000
119,Panthessaliko Stadium,"An outdoor stadium with a seating capacity of over 25,000, located in Thessaloniki, Greece, known for hosting major sporting events and concerts",39.3874927340396,22.9308138071321,25000
120,Plateia Nerou,"A multi-purpose indoor arena with a seating capacity of over 10,000, located in Athens, Greece, known for hosting major sporting events and concerts",37.9370458587727,23.6892029689631,10000
121,Gipedo Toumbas,"A massive stadium with a seating capacity of over 70,000, known for hosting major sporting events and concerts",40.6142462667597,22.9717935119004,70000
122,Nikaia Olympic Handball Centre,"A massive amphitheater with a seating capacity of over 50,000, known for hosting major sporting events and concerts",38.0386853644602,23.785328365587,50000
